title,year,clean_title,appearance_count,tmdb_id,tmdb_title,release_date,directors,cast,genres,original_language,overview,vote_average,vote_count,popularity,directors_main,directors_other,cast_main,cast_other
Parasite,2019.0,parasite,433,496243.0,Parasite,2019-05-30,['Bong Joon Ho'],"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-shik', 'Park So-dam', 'Lee Jung-eun', 'Jang Hye-jin', 'Park Myung-hoon', 'Jung Ji-so', 'Jung Hyeon-jun']","['Comedy', 'Thriller', 'Drama']",ko,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",8.499,19297,30.1007,['Bong Joon Ho'],[],"['Song Kang-ho', 'Lee Sun-kyun', 'Choi Woo-shik']","['Cho Yeo-jeong', 'Park So-dam', 'Lee Jung-eun', 'Jang Hye-jin', 'Park Myung-hoon', 'Jung Ji-so', 'Jung Hyeon-jun']"
Get Out,2017.0,get out,423,419430.0,Get Out,2017-02-24,['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford', 'Caleb Landry Jones', 'Marcus Henderson', 'Betty Gabriel', 'LaKeith Stanfield', 'Stephen Root', 'Lil Rel Howery']","['Mystery', 'Thriller', 'Horror']",en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",7.619,17995,9.6449,['Jordan Peele'],[],"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford', 'Caleb Landry Jones', 'Betty Gabriel', 'LaKeith Stanfield', 'Stephen Root', 'Lil Rel Howery']",['Marcus Henderson']
Knives Out,2019.0,knives out,423,546554.0,Knives Out,2019-11-27,['Rian Johnson'],"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'LaKeith Stanfield', 'Christopher Plummer', 'Katherine Langford']","['Comedy', 'Crime', 'Mystery']",en,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",7.843,12992,10.6136,['Rian Johnson'],[],"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'LaKeith Stanfield', 'Christopher Plummer']",['Katherine Langford']
Whiplash,2014.0,whiplash,405,244786.0,Whiplash,2014-10-10,['Damien Chazelle'],"['Miles Teller', 'J.K. Simmons', 'Paul Reiser', 'Melissa Benoist', 'Austin Stowell', 'Nate Lang', 'Chris Mulkey', 'Damon Gupton', 'Suanne Spoke', 'Max Kasch']","['Drama', 'Music']",en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",8.376,15791,15.2083,['Damien Chazelle'],[],"['Miles Teller', 'J.K. Simmons', 'Paul Reiser', 'Melissa Benoist', 'Austin Stowell', 'Chris Mulkey']","['Nate Lang', 'Damon Gupton', 'Suanne Spoke', 'Max Kasch']"
Arrival,2016.0,arrival,403,329865.0,Arrival,2016-11-10,['Denis Villeneuve'],"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg', ""Mark O'Brien"", 'Tzi Ma', 'Abigail Pniowsky', 'Julia Scarlett Dan', 'Jadyn Malone', 'Frank Schorpion']","['Drama', 'Science Fiction', 'Mystery']",en,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",7.617,18408,10.0199,['Denis Villeneuve'],[],"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg', ""Mark O'Brien"", 'Tzi Ma', 'Frank Schorpion']","['Abigail Pniowsky', 'Julia Scarlett Dan', 'Jadyn Malone']"
Dune,2021.0,dune,398,438631.0,Dune,2021-09-15,['Denis Villeneuve'],"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen']","['Science Fiction', 'Adventure']",en,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",7.8,13755,20.4163,['Denis Villeneuve'],[],"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', 'Chang Chen']",[]
Us,2019.0,us,397,458723.0,Us,2019-03-14,['Jordan Peele'],"[""Lupita Nyong'o"", 'Winston Duke', 'Elisabeth Moss', 'Tim Heidecker', 'Shahadi Wright Joseph', 'Evan Alex', 'Yahya Abdul-Mateen II', 'Anna Diop', 'Cali Sheldon', 'Noelle Sheldon']","['Horror', 'Mystery', 'Thriller']",en,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",6.958,7637,6.2323,['Jordan Peele'],[],"[""Lupita Nyong'o"", 'Winston Duke', 'Elisabeth Moss', 'Tim Heidecker', 'Yahya Abdul-Mateen II']","['Shahadi Wright Joseph', 'Evan Alex', 'Anna Diop', 'Cali Sheldon', 'Noelle Sheldon']"
Oppenheimer,2023.0,oppenheimer,393,872585.0,Oppenheimer,2023-07-19,['Christopher Nolan'],"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie']","['Drama', 'History']",en,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,8.054,10502,24.2591,['Christopher Nolan'],[],"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie']",[]
Joker,2019.0,joker,392,475557.0,Joker,2019-10-01,['Todd Phillips'],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Shea Whigham', 'Bill Camp', 'Glenn Fleshler', 'Leigh Gill', 'Josh Pais']","['Crime', 'Thriller', 'Drama']",en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.134,26637,13.7266,['Todd Phillips'],[],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Shea Whigham', 'Bill Camp', 'Glenn Fleshler', 'Josh Pais']",['Leigh Gill']
Scream,,scream,386,646385.0,Scream,2022-01-12,"['Tyler Gillett', 'Matt Bettinelli-Olpin']","['Melissa Barrera', 'Jenna Ortega', 'Mason Gooding', 'Jasmin Savoy Brown', 'Jack Quaid', 'Mikey Madison', 'Courteney Cox', 'David Arquette', 'Neve Campbell', 'Dylan Minnette']","['Horror', 'Mystery']",en,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",6.684,3524,11.2901,"['Tyler Gillett', 'Matt Bettinelli-Olpin']",[],"['Melissa Barrera', 'Jenna Ortega', 'Mason Gooding', 'Jack Quaid', 'Courteney Cox', 'David Arquette', 'Neve Campbell', 'Dylan Minnette']","['Jasmin Savoy Brown', 'Mikey Madison']"
The Lighthouse,2019.0,lighthouse,382,503919.0,The Lighthouse,2019-10-18,['Robert Eggers'],"['Robert Pattinson', 'Willem Dafoe', 'Valeriia Karaman', 'Logan Hawkes', 'Kyla Nicolle', 'Shaun Clarke', 'Pierre Richard', 'Preston Hudson', 'Jeff Cruts']","['Drama', 'Fantasy', 'Thriller']",en,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,7.5,5168,5.0588,['Robert Eggers'],[],"['Robert Pattinson', 'Willem Dafoe']","['Valeriia Karaman', 'Logan Hawkes', 'Kyla Nicolle', 'Shaun Clarke', 'Pierre Richard', 'Preston Hudson', 'Jeff Cruts']"
The Witch,2015.0,witch,376,310131.0,The Witch,2016-02-19,['Robert Eggers'],"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Harvey Scrimshaw', 'Ellie Grainger', 'Lucas Dawson', 'Julian Richings', 'Bathsheba Garnett', 'Sarah Stephens', 'Daniel Malik']","['Horror', 'Fantasy', 'Drama']",en,"In 1630, a farmer relocates his family to a remote plot of land on the edge of a forest where strange, unsettling things happen. With suspicion and paranoia mounting, each family member's faith, loyalty and love are tested in shocking ways.",6.989,7265,8.2642,['Robert Eggers'],[],"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Julian Richings']","['Harvey Scrimshaw', 'Ellie Grainger', 'Lucas Dawson', 'Bathsheba Garnett', 'Sarah Stephens', 'Daniel Malik']"
Moonlight,2016.0,moonlight,375,376867.0,Moonlight,2016-10-21,['Barry Jenkins'],"['Trevante Rhodes', 'André Holland', 'Janelle Monáe', 'Ashton Sanders', 'Jharrel Jerome', 'Alex R. Hibbert', 'Jaden Piner', 'Naomie Harris', 'Mahershala Ali', 'Shariff Earp']",['Drama'],en,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",7.4,7229,4.287,['Barry Jenkins'],[],"['Trevante Rhodes', 'André Holland', 'Janelle Monáe', 'Ashton Sanders', 'Jharrel Jerome', 'Naomie Harris', 'Mahershala Ali']","['Alex R. Hibbert', 'Jaden Piner', 'Shariff Earp']"
The Menu,2022.0,menu,375,593643.0,The Menu,2022-11-17,['Mark Mylod'],"['Anya Taylor-Joy', 'Ralph Fiennes', 'Nicholas Hoult', 'Janet McTeer', 'Paul Adelstein', 'Rob Yang', 'Aimee Carrero', 'John Leguizamo', 'Arturo Castro', 'Reed Birney']","['Comedy', 'Horror', 'Thriller']",en,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",7.176,5451,8.5782,['Mark Mylod'],[],"['Anya Taylor-Joy', 'Ralph Fiennes', 'Nicholas Hoult', 'Janet McTeer', 'Paul Adelstein', 'John Leguizamo', 'Arturo Castro', 'Reed Birney']","['Rob Yang', 'Aimee Carrero']"
Poor Things,2023.0,poor things,374,792307.0,Poor Things,2023-12-07,['Yorgos Lanthimos'],"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Christopher Abbott', 'Suzy Bemba', 'Jerrod Carmichael', 'Kathryn Hunter', 'Vicki Pepperdine', 'Hanna Schygulla']","['Science Fiction', 'Romance', 'Comedy']",en,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",7.673,4857,9.5966,['Yorgos Lanthimos'],[],"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Christopher Abbott', 'Jerrod Carmichael', 'Kathryn Hunter', 'Vicki Pepperdine', 'Hanna Schygulla']","['Ramy Youssef', 'Suzy Bemba']"
Dunkirk,2017.0,dunkirk,373,374720.0,Dunkirk,2017-07-19,['Christopher Nolan'],"['Fionn Whitehead', 'Tom Hardy', 'Mark Rylance', 'Kenneth Branagh', 'Cillian Murphy', 'Barry Keoghan', 'Harry Styles', 'Aneurin Barnard', 'Damien Bonnard', 'Lee Armstrong']","['War', 'Action', 'Drama']",en,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",7.45,16898,8.5894,['Christopher Nolan'],[],"['Fionn Whitehead', 'Tom Hardy', 'Mark Rylance', 'Kenneth Branagh', 'Cillian Murphy', 'Barry Keoghan', 'Harry Styles', 'Aneurin Barnard', 'Damien Bonnard']",['Lee Armstrong']
Little Women,2019.0,little women,372,331482.0,Little Women,2019-12-25,['Greta Gerwig'],"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen', 'Laura Dern', 'Timothée Chalamet', 'Tracy Letts', 'Bob Odenkirk', 'James Norton', 'Louis Garrel']","['Drama', 'Romance', 'History']",en,Four sisters come of age in America in the aftermath of the Civil War.,7.865,6496,6.4865,['Greta Gerwig'],[],"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen', 'Laura Dern', 'Timothée Chalamet', 'Tracy Letts', 'Bob Odenkirk', 'James Norton', 'Louis Garrel']",[]
Drive,2011.0,drive,370,64690.0,Drive,2011-09-15,['Nicolas Winding Refn'],"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston', 'Albert Brooks', 'Oscar Isaac', 'Christina Hendricks', 'Ron Perlman', 'Kaden Leos', 'Jeff Wolfe', 'James Biberi']","['Drama', 'Thriller', 'Crime']",en,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",7.582,12972,8.1177,['Nicolas Winding Refn'],[],"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston', 'Albert Brooks', 'Oscar Isaac', 'Christina Hendricks', 'Ron Perlman', 'Jeff Wolfe']","['Kaden Leos', 'James Biberi']"
Guardians of the Galaxy,,guardians of galaxy,370,283995.0,Guardians of the Galaxy Vol. 2,2017-04-19,['James Gunn'],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone']","['Science Fiction', 'Adventure', 'Action']",en,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,7.612,22130,17.9909,['James Gunn'],[],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone']",[]
Inside Out,2015.0,inside out,368,150540.0,Inside Out,2015-06-17,['Pete Docter'],"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan', 'Paula Poundstone']","['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",en,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",7.912,22643,16.1252,['Pete Docter'],[],"['Amy Poehler', 'Richard Kind', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']","['Phyllis Smith', 'Kaitlyn Dias', 'Paula Poundstone']"
A Quiet Place,2018.0,quiet place,366,447332.0,A Quiet Place,2018-04-03,['John Krasinski'],"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds', 'Noah Jupe', 'Cade Woodward', 'Leon Russom', 'Rhoda Pell']","['Horror', 'Drama', 'Science Fiction']",en,A family is forced to live in silence while hiding from creatures that hunt by sound.,7.398,14674,9.4819,['John Krasinski'],[],"['Emily Blunt', 'John Krasinski', 'Noah Jupe']","['Millicent Simmonds', 'Cade Woodward', 'Leon Russom', 'Rhoda Pell']"
Ex Machina,2015.0,ex machina,366,264660.0,Ex Machina,2015-01-21,['Alex Garland'],"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac', 'Sonoya Mizuno', 'Corey Johnson', 'Claire Selby', 'Symara A. Templeman', 'Gana Bayarsaikhan', 'Tiffany Pisani', 'Elina Alminas']","['Drama', 'Science Fiction']",en,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",7.573,13625,5.5973,['Alex Garland'],[],"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac', 'Sonoya Mizuno', 'Corey Johnson']","['Claire Selby', 'Symara A. Templeman', 'Gana Bayarsaikhan', 'Tiffany Pisani', 'Elina Alminas']"
It,2017.0,it,362,346364.0,It,2017-09-06,['Andy Muschietti'],"['Bill Skarsgård', 'Sophia Lillis', 'Jaeden Martell', 'Jack Dylan Grazer', 'Finn Wolfhard', 'Jeremy Ray Taylor', 'Wyatt Oleff', 'Chosen Jacobs', 'Nicholas Hamilton', 'Jackson Robert Scott']","['Horror', 'Thriller']",en,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",7.2,19453,12.9033,['Andy Muschietti'],[],"['Bill Skarsgård', 'Sophia Lillis', 'Jaeden Martell', 'Jack Dylan Grazer', 'Finn Wolfhard']","['Jeremy Ray Taylor', 'Wyatt Oleff', 'Chosen Jacobs', 'Nicholas Hamilton', 'Jackson Robert Scott']"
Marriage Story,2019.0,marriage story,362,492188.0,Marriage Story,2019-09-28,['Noah Baumbach'],"['Adam Driver', 'Scarlett Johansson', 'Laura Dern', 'Alan Alda', 'Ray Liotta', 'Julie Hagerty', 'Merritt Wever', 'Azhy Robertson', 'Wallace Shawn', 'Martha Kelly']",['Drama'],en,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",7.733,7122,3.6891,['Noah Baumbach'],[],"['Adam Driver', 'Scarlett Johansson', 'Laura Dern', 'Alan Alda', 'Ray Liotta', 'Julie Hagerty', 'Merritt Wever', 'Wallace Shawn']","['Azhy Robertson', 'Martha Kelly']"
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,361,283995.0,Guardians of the Galaxy Vol. 2,2017-04-19,['James Gunn'],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone']","['Science Fiction', 'Adventure', 'Action']",en,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,7.612,22130,17.9909,['James Gunn'],[],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone']",[]
Halloween,1978.0,halloween,359,948.0,Halloween,1978-10-24,['John Carpenter'],"['Donald Pleasence', 'Jamie Lee Curtis', 'Nancy Kyes', 'P. J. Soles', 'Charles Cyphers', 'Kyle Richards', 'Brian Andrews', 'John Michael Graham', 'Nancy Stephens', 'Arthur Malet']","['Horror', 'Thriller']",en,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",7.562,5839,6.3488,['John Carpenter'],[],"['Donald Pleasence', 'Jamie Lee Curtis', 'Nancy Kyes', 'P. J. Soles', 'Charles Cyphers', 'Kyle Richards', 'Arthur Malet']","['Brian Andrews', 'John Michael Graham', 'Nancy Stephens']"
House,,house,354,11415.0,House,1985-12-06,['Steve Miner'],"['William Katt', 'George Wendt', 'Richard Moll', 'Kay Lenz', 'Mary Stavin', 'Michael Ensign', 'Erik Silver', 'Mark Silver', 'Susan French', 'Alan Autry']","['Comedy', 'Horror', 'Fantasy']",en,"Roger Cobb, a divorced horror novelist coming to terms with the disappearance of his young son, inherits an old mansion home to malevolent supernatural residents.",6.183,585,1.646,['Steve Miner'],[],"['William Katt', 'George Wendt', 'Richard Moll', 'Kay Lenz', 'Mary Stavin', 'Michael Ensign', 'Alan Autry']","['Erik Silver', 'Mark Silver', 'Susan French']"
X,2022.0,x,354,760104.0,X,2022-03-17,['Ti West'],"['Mia Goth', 'Jenna Ortega', 'Brittany Snow', 'Kid Cudi', 'Martin Henderson', 'Owen Campbell', 'Stephen Ure', 'James Gaylyn', 'Simon Prast', 'Geoff Dolan']","['Horror', 'Thriller']",en,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",6.743,3588,7.9237,['Ti West'],[],"['Mia Goth', 'Jenna Ortega', 'Brittany Snow', 'Kid Cudi', 'Martin Henderson', 'Owen Campbell']","['Stephen Ure', 'James Gaylyn', 'Simon Prast', 'Geoff Dolan']"
Nosferatu,2024.0,nosferatu,352,426063.0,Nosferatu,2024-12-25,['Robert Eggers'],"['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe', 'Emma Corrin', 'Ralph Ineson', 'Simon McBurney', 'Adéla Hesová', 'Milena Konstantinova']","['Drama', 'Horror', 'Fantasy']",en,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",6.7,2878,23.0794,['Robert Eggers'],[],"['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe', 'Emma Corrin', 'Ralph Ineson', 'Simon McBurney']","['Adéla Hesová', 'Milena Konstantinova']"
Sinners,2025.0,sinners,352,1233413.0,Sinners,2025-04-16,['Ryan Coogler'],"['Michael B. Jordan', 'Hailee Steinfeld', 'Miles Caton', ""Jack O'Connell"", 'Wunmi Mosaku', 'Jayme Lawson', 'Omar Benson Miller', 'Delroy Lindo', 'Li Jun Li', 'Yao']","['Horror', 'Action', 'Thriller']",en,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",7.562,2182,60.2034,['Ryan Coogler'],[],"['Michael B. Jordan', 'Hailee Steinfeld', ""Jack O'Connell"", 'Wunmi Mosaku', 'Jayme Lawson', 'Omar Benson Miller', 'Delroy Lindo']","['Miles Caton', 'Li Jun Li', 'Yao']"
Barbarian,2022.0,barbarian,349,913290.0,Barbarian,2022-09-08,['Zach Cregger'],"['Georgina Campbell', 'Justin Long', 'Bill Skarsgård', 'Richard Brake', 'Matthew Patrick Davis', 'Jaymes Butler', 'Kurt Braunohler', 'Sophie Sörensen', 'Rachel Fowler', 'JR Esposito']","['Horror', 'Thriller']",en,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",6.826,2751,6.7017,[],['Zach Cregger'],"['Georgina Campbell', 'Justin Long', 'Bill Skarsgård', 'Richard Brake']","['Matthew Patrick Davis', 'Jaymes Butler', 'Kurt Braunohler', 'Sophie Sörensen', 'Rachel Fowler', 'JR Esposito']"
Psycho,,psycho,349,539.0,Psycho,1960-06-22,['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Patricia Hitchcock', 'Vaughn Taylor']","['Horror', 'Thriller', 'Mystery']",en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",8.421,10443,12.2108,['Alfred Hitchcock'],[],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Vaughn Taylor']",['Patricia Hitchcock']
The Avengers,2012.0,avengers,346,24428.0,The Avengers,2012-04-25,['Joss Whedon'],"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård']","['Science Fiction', 'Action', 'Adventure']",en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.782,32551,37.7782,['Joss Whedon'],[],"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård']",[]
Titanic,1997.0,titanic,342,597.0,Titanic,1997-11-18,['James Cameron'],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber']","['Drama', 'Romance']",en,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",7.9,26180,26.55,['James Cameron'],[],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber']",[]
The Lord of the Rings: The Fellowship of the Ring,,lord of rings fellowship of ring,339,120.0,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,['Peter Jackson'],"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Ian Holm', 'Liv Tyler', 'Christopher Lee', 'Sean Bean', 'Billy Boyd', 'Dominic Monaghan']","['Adventure', 'Fantasy', 'Action']",en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",8.423,26197,27.8855,['Peter Jackson'],[],"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Ian Holm', 'Liv Tyler', 'Christopher Lee', 'Sean Bean', 'Billy Boyd', 'Dominic Monaghan']",[]
Carol,2015.0,carol,338,258480.0,Carol,2015-11-20,['Todd Haynes'],"['Cate Blanchett', 'Rooney Mara', 'Kyle Chandler', 'Jake Lacy', 'Sarah Paulson', 'John Magaro', 'Cory Michael Smith', 'Kevin Crowley', 'Nik Pajic', 'Carrie Brownstein']","['Romance', 'Drama']",en,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.",7.5,3798,4.7004,['Todd Haynes'],[],"['Cate Blanchett', 'Rooney Mara', 'Kyle Chandler', 'Jake Lacy', 'Sarah Paulson', 'John Magaro', 'Cory Michael Smith']","['Kevin Crowley', 'Nik Pajic', 'Carrie Brownstein']"
