username,title,year,rating,film_slug,tmdb_id
schaffrillas,Happy Gilmore 2,,4,happy-gilmore-2,
schaffrillas,Smurfs,,2,smurfs,
schaffrillas,Superman,2025.0,7,superman-2025,
schaffrillas,KPop Demon Hunters,,7,kpop-demon-hunters,
schaffrillas,Elio,,6,elio,
schaffrillas,The Phoenician Scheme,,8,the-phoenician-scheme,
schaffrillas,Mission: Impossible – The Final Reckoning,,7,mission-impossible-the-final-reckoning,
schaffrillas,Cinderella's Castle,,6,cinderellas-castle,
schaffrillas,Sinners,2025.0,8,sinners-2025,
schaffrillas,A Minecraft Movie,,4,a-minecraft-movie,
schaffrillas,Tank Fantasy,,8,tank-fantasy,
schaffrillas,Ne Zha 2,,9,ne-zha-2,
schaffrillas,OBEX,,7,obex,
schaffrillas,Johanne Sacreblu,,10,johanne-sacreblu,
schaffrillas,A Complete Unknown,,6,a-complete-unknown,
schaffrillas,Sonic the Hedgehog 3,,8,sonic-the-hedgehog-3,
schaffrillas,Mufasa: The Lion King,,2,mufasa-the-lion-king,
schaffrillas,Wallace & Gromit: Vengeance Most Fowl,,8,wallace-gromit-vengeance-most-fowl,
schaffrillas,Cunk on Life,,8,cunk-on-life,
schaffrillas,Nosferatu,2024.0,9,nosferatu-2024,
schaffrillas,Moana 2,,5,moana-2,
schaffrillas,Wicked,2024.0,8,wicked-2024,
schaffrillas,Juror #2,,7,juror-2,
schaffrillas,The Penguin,2024.0,8,the-penguin-2024,
schaffrillas,The Wild Robot,,9,the-wild-robot,
schaffrillas,Transformers One,,8,transformers-one,
schaffrillas,Jane Austen Wrecked My Life,,6,jane-austen-wrecked-my-life,
schaffrillas,Joker: Folie à Deux,,3,joker-folie-a-deux,
schaffrillas,I'm Still Here,2024.0,8,im-still-here-2024,
schaffrillas,The Brutalist,,6,the-brutalist,
schaffrillas,Saturday Night,2024.0,7,saturday-night-2024,
schaffrillas,DAN DA DAN: First Encounter,,8,dan-da-dan-first-encounter,
schaffrillas,Nickel Boys,,8,nickel-boys,
schaffrillas,Better Man,2024.0,6,better-man-2024,
schaffrillas,Conclave,,5,conclave,
schaffrillas,Beetlejuice Beetlejuice,,6,beetlejuice-beetlejuice,
schaffrillas,Alien: Romulus,,7,alien-romulus,
schaffrillas,Saving Bikini Bottom: The Sandy Cheeks Movie,,2,saving-bikini-bottom-the-sandy-cheeks-movie,
schaffrillas,Baby Assassins: Nice Days,,9,baby-assassins-nice-days,
schaffrillas,Deadpool & Wolverine,,5,deadpool-wolverine,
schaffrillas,Trap,2024.0,7,trap-2024,
schaffrillas,My Deer Friend Nokotan,,6,my-deer-friend-nokotan,
schaffrillas,Despicable Me 4,,5,despicable-me-4,
schaffrillas,Memoir of a Snail,,9,memoir-of-a-snail,
schaffrillas,Look Back,2024.0,9,look-back-2024,
schaffrillas,Inside Out 2,2024.0,8,inside-out-2-2024,
schaffrillas,Flow,2024.0,8,flow-2024,
schaffrillas,Anora,,9,anora,
schaffrillas,The Apprentice,2024.0,8,the-apprentice-2024,
schaffrillas,The Substance,,9,the-substance,
schaffrillas,Jim Henson Idea Man,,7,jim-henson-idea-man,
schaffrillas,Emilia Pérez,,3,emilia-perez,
schaffrillas,Megalopolis,2024.0,6,megalopolis-2024,
schaffrillas,May the 12th Be with You,,1,may-the-12th-be-with-you,
schaffrillas,Not Just a Goof,,8,not-just-a-goof,
schaffrillas,Furiosa: A Mad Max Saga,,8,furiosa-a-mad-max-saga,
schaffrillas,Unfrosted,,3,unfrosted,
schaffrillas,Knuckles,2024.0,5,knuckles-2024,
schaffrillas,How to Make Millions Before Grandma Dies,,6,how-to-make-millions-before-grandma-dies,
schaffrillas,Challengers,,9,challengers,
schaffrillas,Snack Shack,,7,snack-shack,
schaffrillas,Nanoshark,,10,nanoshark,
schaffrillas,Magic Candies,,7,magic-candies,
schaffrillas,Kung Fu Panda 4,,5,kung-fu-panda-4,
schaffrillas,Megamind vs. the Doom Syndicate,,1,megamind-vs-the-doom-syndicate,
schaffrillas,Madame Web,,2,madame-web,
schaffrillas,Taylor Tomlinson: Have It All,,8,taylor-tomlinson-have-it-all,
schaffrillas,Dune: Part Two,,9,dune-part-two,
schaffrillas,A Different Man,,8,a-different-man,
schaffrillas,A Real Pain,,8,a-real-pain,
schaffrillas,Dìdi (弟弟),2024.0,8,didi-2024,
schaffrillas,I Saw the TV Glow,,8,i-saw-the-tv-glow,
schaffrillas,ted,2024.0,8,ted-2024,
schaffrillas,Pokémon Concierge,,7,pokemon-concierge,
schaffrillas,Mooned,,7,mooned,
schaffrillas,The Color Purple,2023.0,6,the-color-purple-2023,
schaffrillas,Scott Pilgrim Takes Off,2023.0,9,scott-pilgrim-takes-off-2023,
schaffrillas,The Curse,2023.0,8,the-curse-2023,
schaffrillas,Wish,2023.0,4,wish-2023,
schaffrillas,BLUE EYE SAMURAI,,10,blue-eye-samurai,
schaffrillas,Godzilla Minus One,,8,godzilla-minus-one,
schaffrillas,Chicken Run: Dawn of the Nugget,,5,chicken-run-dawn-of-the-nugget,
schaffrillas,Poison,2023.0,9,poison-2023,
schaffrillas,The Rat Catcher,2023.0,8,the-rat-catcher-2023,
schaffrillas,The Swan,2023.0,8,the-swan-2023,
schaffrillas,Sing Sing,2023.0,9,sing-sing-2023,
schaffrillas,Dream Scenario,,9,dream-scenario,
schaffrillas,American Fiction,,6,american-fiction,
schaffrillas,Priscilla,,7,priscilla,
schaffrillas,The Killer,2023.0,6,the-killer-2023,
schaffrillas,Maestro,2023.0,6,maestro-2023,
schaffrillas,Poor Things,2023.0,9,poor-things-2023,
schaffrillas,The Wonderful Story of Henry Sugar,,7,the-wonderful-story-of-henry-sugar,
schaffrillas,The Holdovers,,10,the-holdovers,
schaffrillas,You Are So Not Invited to My Bat Mitzvah,,7,you-are-so-not-invited-to-my-bat-mitzvah,
schaffrillas,Synthwave Horror: Nosferatu,,4,synthwave-horror-nosferatu,
schaffrillas,Teenage Mutant Ninja Turtles: Mutant Mayhem,,7,teenage-mutant-ninja-turtles-mutant-mayhem,
schaffrillas,The Boy and the Heron,,10,the-boy-and-the-heron,
schaffrillas,No Disrespect,,3,no-disrespect,
schaffrillas,Oppenheimer,2023.0,9,oppenheimer-2023,
schaffrillas,Mission: Impossible – Dead Reckoning,,9,mission-impossible-dead-reckoning,
schaffrillas,Barbie,,9,barbie,
schaffrillas,"Ruby Gillman, Teenage Kraken",,3,ruby-gillman-teenage-kraken,
schaffrillas,They Cloned Tyrone,,7,they-cloned-tyrone,
schaffrillas,Nimona,2023.0,8,nimona-2023,
schaffrillas,The Spider Within: A Spider-Verse Story,,7,the-spider-within-a-spider-verse-story,
schaffrillas,Once Upon a Studio,,9,once-upon-a-studio,
schaffrillas,Spider-Man: Across the Spider-Verse,,9,spider-man-across-the-spider-verse,
schaffrillas,Elemental,2023.0,5,elemental-2023,
schaffrillas,Perfect Days,2023.0,8,perfect-days-2023,
schaffrillas,Asteroid City,,7,asteroid-city,
schaffrillas,Anatomy of a Fall,,8,anatomy-of-a-fall,
schaffrillas,May December,,9,may-december,
schaffrillas,Killers of the Flower Moon,,8,killers-of-the-flower-moon,
schaffrillas,The Zone of Interest,,6,the-zone-of-interest,
schaffrillas,Chicken for Linda!,,8,chicken-for-linda,
schaffrillas,Indiana Jones and the Dial of Destiny,,3,indiana-jones-and-the-dial-of-destiny,
schaffrillas,Mars Express,,8,mars-express,
schaffrillas,22 Rooms,,8,22-rooms,
schaffrillas,Guardians of the Galaxy Vol. 3,,9,guardians-of-the-galaxy-vol-3,
schaffrillas,The Owl House: Watching and Dreaming,,8,the-owl-house-watching-and-dreaming,
schaffrillas,The Super Mario Bros. Movie,,7,the-super-mario-bros-movie,
schaffrillas,Murder Mystery 2,,5,murder-mystery-2,
schaffrillas,Baby Assassins 2,,7,baby-assassins-2,
schaffrillas,Bottoms,,8,bottoms,
schaffrillas,Dungeons & Dragons: Honor Among Thieves,,8,dungeons-dragons-honor-among-thieves,
schaffrillas,John Wick: Chapter 4,,7,john-wick-chapter-4,
schaffrillas,BlackBerry,2023.0,9,blackberry-2023,
schaffrillas,The Match-Stick Flame 2: Lunada Bay,,5,the-match-stick-flame-2-lunada-bay,
schaffrillas,Rye Lane,,9,rye-lane,
schaffrillas,Theater Camp,2023.0,6,theater-camp-2023,
schaffrillas,Past Lives,,8,past-lives,
schaffrillas,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,,8,kaguya-sama-love-is-war-the-first-kiss-that-never-ends,
schaffrillas,Babylon,2022.0,7,babylon-2022,
schaffrillas,Avatar: The Way of Water,,6,avatar-the-way-of-water,
schaffrillas,Puss in Boots: The Last Wish,,9,puss-in-boots-the-last-wish,
schaffrillas,Eyeballs in the Darkness,,8,eyeballs-in-the-darkness,
schaffrillas,The Guardians of the Galaxy Holiday Special,,8,the-guardians-of-the-galaxy-holiday-special,
schaffrillas,Dinosaur Hotel II,,4,dinosaur-hotel-ii,
schaffrillas,Strange World,2022.0,5,strange-world-2022,
schaffrillas,Suzume,,7,suzume,
schaffrillas,Zen - Grogu and Dust Bunnies,,6,zen-grogu-and-dust-bunnies,
schaffrillas,The Soccer Football Movie,,2,the-soccer-football-movie,
schaffrillas,Black Panther: Wakanda Forever,,7,black-panther-wakanda-forever,
schaffrillas,Guillermo del Toro's Pinocchio,,7,guillermo-del-toros-pinocchio,
schaffrillas,Roald Dahl's Matilda the Musical,,7,roald-dahls-matilda-the-musical,
schaffrillas,Daddy Daughter Trip,,3,daddy-daughter-trip,
schaffrillas,Hundreds of Beavers,,9,hundreds-of-beavers,
schaffrillas,Entergalactic,,8,entergalactic,
schaffrillas,The Munsters,,4,the-munsters,
schaffrillas,Werewolf by Night,,7,werewolf-by-night-in-color,
schaffrillas,All Quiet on the Western Front,2022.0,5,all-quiet-on-the-western-front-2022,
schaffrillas,The Menu,2022.0,9,the-menu-2022,
schaffrillas,The Fabelmans,,9,the-fabelmans,
schaffrillas,Glass Onion,,9,glass-onion,
schaffrillas,See How They Run,2022.0,6,see-how-they-run-2022,
schaffrillas,Weird: The Al Yankovic Story,2022.0,9,weird-the-al-yankovic-story-2022,
schaffrillas,Welcome to the Club,2022.0,2,welcome-to-the-club-2022,
schaffrillas,Pinocchio,2022.0,3,pinocchio-2022,
schaffrillas,The Banshees of Inisherin,,9,the-banshees-of-inisherin,
schaffrillas,The Whale,2022.0,2,the-whale-2022,
schaffrillas,Women Talking,,8,women-talking,
schaffrillas,TÁR,2022.0,7,tar-2022,
schaffrillas,Ouija Shark 2,,4,ouija-shark-2,
schaffrillas,Nope,,8,nope,
schaffrillas,Z-O-M-B-I-E-S 3,,5,z-o-m-b-i-e-s-3,
schaffrillas,Minions: The Rise of Gru,,4,minions-the-rise-of-gru,
schaffrillas,Thor: Love and Thunder,,5,thor-love-and-thunder,
schaffrillas,The Flying Sailor,,4,the-flying-sailor,
schaffrillas,Ms. Marvel,,7,ms-marvel,
schaffrillas,Lightyear,2022.0,3,lightyear-2022,
schaffrillas,An Ostrich Told Me the World Is Fake and I Think I Believe It,,6,an-ostrich-told-me-the-world-is-fake-and-i-think-i-believe-it,
schaffrillas,Bo Burnham: The Inside Outtakes,,8,bo-burnham-the-inside-outtakes,
schaffrillas,The Bob's Burgers Movie,,6,the-bobs-burgers-movie,
schaffrillas,Obi-Wan Kenobi,2023.0,6,obi-wan-kenobi-the-patterson-cut-2023,
schaffrillas,Elvis,2022.0,4,elvis-2022,
schaffrillas,Ice Merchants,,7,ice-merchants,
schaffrillas,Aftersun,,10,aftersun,
schaffrillas,Triangle of Sadness,,7,triangle-of-sadness,
